"Url","Name_Product","Price","Discount","Location"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu Bông Chuột lang Nước Capybara Chảy Nước Mũi Hàng Cao Cấp Giá Ưu Đãi Duy Nhất - HAUNNISHOP.VN","62.500","₫ 62.500","Vĩnh Phúc"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rguny8a6ynb6","Gấu Bông Chuột Lang Nước Capybara Hồng Miệng Dưa Hấu ♥️ Xưởng Gấu Hoa Bình ♥️ - MSP99","39.000","₫ 39.000","Vĩnh Phúc"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu bông capybara ôm trà sữa ngộ nghĩnh siêu cute và đáng yêu chính hãng YUVU","170.000","₫ 170.000","Hà Nội"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","[Pcwkkef] Kawaii Sang Trọng Ngáy Capybara Móc Khóa Dễ Thương Capybara Có Túi Rùa Móc Khóa","13.300","₫ 13.300","Nước ngoài"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu Bông Chuột Lang Nước Capybara Chảy Nước Mũi Hàng Cao Cấp Giá Ưu Đãi","55.000","₫ 55.000","Hà Nội"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu bông Capybara đeo balo rùa siêu dễ thương siêu mềm Búp Bê Nhồi Bông Capybara Mềm Mại Đáng Yêu","48.500","₫ 48.500","Hà Nội"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu Bông Capybara Balo Rùa Xanh YUVU Chuột Lang Xinh Xắn Siêu Dễ Thương Chính Hãng","150.000","₫ 150.000","Hà Nội"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh2v1sfwe723","🔥🔥capybara chảy nước mũi Gấu bông capybara 25cm-55cm, búp bê capybara sang trọng, quà tặng cho trẻ em","49.000","₫ 49.000","Nước ngoài"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Gấu bông capybara chảy nước mũi - Mũi liền - Mũi kéo","45.000","₫ 45.000","Vĩnh Phúc"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","Momo Vòng Tay Cổ Tay Nằm Xuống Búp Bê Capybara Búp Bê Chụp Nhẫn Dễ Thương Sang Trọng Đồ Chơi Xấu Xí Dễ Thương Búp Bê Mới","31.400","₫ 31.400","Nước ngoài"
"https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m1rh271rkam7f4","( Giá Sỉ ) Gấu Bông Chuột Capybara chảy nước mũi 30cm siu đáng yêu, Thú Bông Chuột Capybara kéo được mũi cho bé","49.000","₫ 49.000","Thanh Hóa"
